source_path,num_clips
/Users/alper/Datasets/wind_raw/Desert Howling Wind.mp3,108
/Users/alper/Datasets/wind_raw/Windy Forrest.mp3,82
/Users/alper/Datasets/wind_raw/WINDInt_Whistle Inside Room 01_B00M_ONE.wav,76
/Users/alper/Datasets/wind_raw/WindStorm_S011SSFX.400.wav,72
/Users/alper/Datasets/wind_raw/4 - Wind.mp3,62
/Users/alper/Datasets/wind_raw/WINDInt_Whistle Inside Room Heavy 01_B00M_ONE.wav,61
/Users/alper/Datasets/wind_raw/WIND_Suburban Quiet Wind 01_B00M_ONE.wav,60
/Users/alper/Datasets/wind_raw/WINDTonl_Attic Room Storm Whistle Heavy 01_B00M_ONE.wav,51
/Users/alper/Datasets/wind_raw/WINDDsgn_Howl And Noise 02_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Howl And Whistle 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Chaotic Howl And Whistle 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Heavy Rumble and Howl 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Heavy Rumble and Howl 02_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Heavy Rumble and Howl 03_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDDsgn_Howl And Noise 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Rumble And Noise 03_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Heavy Rumble and Howl 04_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Heavy Rumble and Howl 05_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Howl And Whistle Flutter 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Rumble and Howl 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Rumble and Howl 02_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WIND_Storm Rumble and Howl 03_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Rumble and Howl 02_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Rumble and Howl 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Rumble And Noise 01_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDDsgn_Howl And Noise 03_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Rumble And Noise 02_B00M_ONE.wav,45
/Users/alper/Datasets/wind_raw/WINDVege_Open Field Howl 03_B00M_ONE.wav,44
/Users/alper/Datasets/wind_raw/WINDVege_Open Field Howl 02_B00M_ONE.wav,42
/Users/alper/Datasets/wind_raw/WIND_Countryside Medium Wind Rustling Leaves 01_B00M_ONE.wav,39
/Users/alper/Datasets/wind_raw/WINDVege_Open Field Howl 04_B00M_ONE.wav,39
/Users/alper/Datasets/wind_raw/WINDVege_Windy Early Morning Medium 01_B00M_ONE.wav,36
/Users/alper/Datasets/wind_raw/WINDVege_Open Field Howl 01_B00M_ONE.wav,36
/Users/alper/Datasets/wind_raw/WINDVege_Open Field Howl 05_B00M_ONE.wav,36
/Users/alper/Datasets/wind_raw/WINDDsgn_Howl Exterior 01_B00M_ONE.wav,35
/Users/alper/Datasets/wind_raw/Ambience Wind Blowing Through Trees 01.wav,34
/Users/alper/Datasets/wind_raw/WIND_Countryside Medium Wind 02_B00M_ONE.wav,34
/Users/alper/Datasets/wind_raw/WIND_Countryside Medium Wind 01_B00M_ONE.wav,34
/Users/alper/Datasets/wind_raw/WINDDsgn_Cold Interior 01_B00M_ONE.wav,34
/Users/alper/Datasets/wind_raw/WINDDsgn_Howl Interior 01_B00M_ONE.wav,32
/Users/alper/Datasets/wind_raw/WindStormCold_S011SSFX.403.wav,24
/Users/alper/Datasets/wind_raw/WINDDsgn_Soft Interior 01_B00M_ONE.wav,18
/Users/alper/Datasets/wind_raw/Wind Sounds-JeAnxf-i8Yo.wav,13
/Users/alper/Datasets/wind_raw/Wind Sound.mp3,3
/Users/alper/Datasets/wind_raw/WIND_Heavy Wind on the Fell or Mountain Lapland Spring EUREN 48 kHz.wav,2
/Users/alper/Datasets/wind_raw/WINDDsgn_Chiming Synthetic Wind 01_B00M_ONE.wav,2
/Users/alper/Datasets/wind_raw/WINDDsgn_Low Howling Wind 02_B00M_ONE.wav,1
/Users/alper/Datasets/wind_raw/WINDDsgn_Howling Wind 01_B00M_ONE.wav,1
